fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
01001,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.082,other,74.7,0.09,1.13,0.1,0.7,35,actual,69,actual,0.87,3,1,3,2,2,2,3,89345,431,119700,2527790,235,1853,1135,177,0.58,119,104,35,0.676923076923,712,963195,398263,346399,2021-09-03,https://covidactnow.org/us/alaska-ak,0.544,0.474,0,733429,3
01003,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.2,other,96.0,0.02,1.08,0.1,1.12,881,actual,797,actual,1.06,5,2,5,2,1,3,3,707167,12330,676027,4677393,404,19167,12408,3172,0.6,1581,1678,881,0.7,5312,6218000,2452547,1891063,2021-09-03,https://covidactnow.org/us/alabama-al,0.5,0.386,39,4158442,3
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.105,other,69.4,0.08,0.98,0.1,0.86,466,actual,456,actual,0.92,3,2,3,2,1,3,3,458234,7003,288203,3009566,790,13284,6858,1309,0.55,1001,922,466,0.61,2453,3759640,1615085,1267963,2021-09-03,https://covidactnow.org/us/arkansas-ar,0.535,0.42,34,2822186,3
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.102,other,43.1,0.03,1.04,0.1,0.4,515,actual,872,actual,0.64,3,2,3,2,1,0,0,1018792,18879,1042549,8446087,396,18286,12772,2118,0.6,2166,1387,515,0.829018663456,3470,9424740,4139735,3499085,2021-09-03,https://covidactnow.org/us/arizona-az,0.569,0.481,26,7602465,3
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.049,other,37.8,0.14,1.02,0.1,0.6,2106,actual,3799,actual,0.81,3,1,3,1,1,1,2,4486276,66153,4335032,65436879,10600,99574,52554,8682,0.6,7282,5905,2106,0.59,14358,55588935,27313557,22167559,2021-09-03,https://covidactnow.org/us/california-ca,0.691,0.561,166,48220341,3
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.064,other,30.3,0.15,1.13,0.1,0.43,304,actual,701,actual,0.71,3,1,3,1,2,0,1,623560,7346,610228,8660646,1300,13464,8469,919,0.63,1409,1005,304,0.8043135192,2873,7874275,3655386,3284900,2021-09-03,https://covidactnow.org/us/colorado-co,0.635,0.57,22,6838786,3
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.046,other,18.2,0.26,1.07,0.1,0.18,101,actual,497,actual,0.57,2,1,2,1,1,0,0,373646,8394,497966,9705020,860,8238,6635,422,0.68,1052,598,101,0.65,686,5358265,2632660,2360741,2021-09-03,https://covidactnow.org/us/connecticut-ct,0.738,0.662,36,4839352,3
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.033,other,27.4,0.28,1.09,0.1,0.28,22,actual,254,actual,0.83,3,1,3,1,1,0,2,55718,1161,78599,2271002,268,4623,2786,138,0.76,332,276,22,0.8289855072460001,148,1174045,477688,405386,2021-09-03,https://covidactnow.org/us/district_of_columbia-dc,0.677,0.574,0,950386,3
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.072,other,39.8,0.11,1.1,0.1,0.66,47,actual,116,actual,0.87,3,1,3,1,1,2,3,120727,1888,136497,2224755,211,4052,2667,266,0.71,187,163,47,0.73,547,1466655,625906,540571,2021-09-03,https://covidactnow.org/us/delaware-de,0.643,0.555,1,1156347,3
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.171,other,92.7,0.03,0.96,0.1,0.88,3302,actual,3116,actual,0.94,5,2,5,2,1,3,3,3287355,45909,3856688,32828732,2600,76852,49888,14563,0.76,6852,6418,3302,0.76,21723,30540205,13773149,11468372,2021-09-03,https://covidactnow.org/us/florida-fl,0.641,0.534,1338,25072227,3
